서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,서울시 의심환자 전체,서울시 의심환자 검사중,서울시 의심환자 검사결과(음성),전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망,전국 의심환자 전체,전국 의심환자 검사중,전국 의심환자 검사결과(음성),자가격리자 해외입국자 감시중,자가격리자 해외입국자 감시해제,자가격리자 접촉자 감시중,자가격리자 접촉자 감시해제,확인중 확진자,서울시 당일사망자,전국 당일 사망자
2022.07.26.00,3891336,23107,0,,,4944,,,,2022.07.26.00,19346764,99327,0,,24907,,,,,,,,0,1,17
2022.07.25.00,3868256,5967,0,,,4943,,,,2022.07.25.00,19247496,35883,0,,24890,,,,,,,,0,5,17
2022.07.24.00,3862289,13809,0,,,4938,,,,2022.07.24.00,19211613,65433,0,,24873,,,,,,,,0,3,18
2022.07.23.00,3848480,14830,0,,,4935,,,,2022.07.23.00,19146180,68551,0,,24855,,,,,,,,0,4,30
2022.07.22.00,3833658,15379,0,,,4931,,,,2022.07.22.00,19077659,68632,0,,24825,,,,,,,,0,4,31
2022.07.21.00,3818284,16670,0,,,4927,,,,2022.07.21.00,19009080,71170,0,,24794,,,,,,,,0,4,17
2022.07.20.00,3801622,17199,0,,,4923,,,,2022.07.20.00,18937971,76402,0,,24777,,,,,,,,0,2,12
2022.07.19.00,3784432,18038,0,,,4921,,,,2022.07.19.00,18861593,73582,0,,24765,,,,,,,,0,0,12
2022.07.18.00,3766412,4896,0,,,4921,,,,2022.07.18.00,18788056,26299,0,,24753,,,,,,,,0,3,11
2022.07.17.00,3761516,8565,0,,,4918,,,,2022.07.17.00,18761757,40342,0,,24742,,,,,,,,0,2,14
2022.07.16.00,3752951,9457,0,,,4916,,,,2022.07.16.00,18721415,41310,0,,24728,,,,,,,,0,2,16
2022.07.15.00,3743496,8951,0,,,4914,,,,2022.07.15.00,18680142,38882,0,,24712,,,,,,,,0,2,16
2022.07.14.00,3734550,9655,0,,,4912,,,,2022.07.14.00,18641278,39196,0,,24696,,,,,,,,0,3,16
2022.07.13.00,3724897,9363,0,,,4909,,,,2022.07.13.00,18602109,40266,0,,24680,,,,,,,,0,2,12
