"자치구","안심 주소","CCTV 용도","위도","경도","CCTV 수량","수정 일시"
"용산구","공원14-53(00) 19-1차(응봉근린공원한남테니스장)","공원14-53(00) 19-1차(응봉근린공원한남테니스장)","37.5440","127.0047","1","2022-12-01"
"용산구","공원14-55(00) 19-1차(한남동 산 8-1 응봉공원내)","공원14-55(00) 19-1차(한남동 산 8-1 응봉공원내)","37.5466","127.0045","1","2022-12-01"
"용산구","공원14-62(00) (한남동 산8-1 응봉공원)","공원14-62(00) (한남동 산8-1 응봉공원)","37.5453","127.0041","1","2022-12-01"
"용산구","공원14-63(00) (한남동 산8-1 응봉공원)","공원14-63(00) (한남동 산8-1 응봉공원)","37.5458","127.0042","1","2022-12-01"
"용산구","공원14-79(00) 19-1차(한남동 524-6 정겨운 마을마당)","공원14-79(00) 19-1차(한남동 524-6 정겨운 마을마당)","37.5303","127.0070","1","2022-12-01"
"용산구","공원14-80(00) 19-1차(한남동 1-32 독서당 소공원)","공원14-80(00) 19-1차(한남동 1-32 독서당 소공원)","37.5343","127.0125","1","2022-12-01"
"용산구","공원14-85(00) 20-2차(한남동 432 자투리녹지대)","공원14-85(00) 20-2차(한남동 432 자투리녹지대)","37.5307","127.0111","1","2022-12-01"
"용산구","공원14-85(A1) 20-2차(한남동 432 자투리녹지대)","공원14-85(A1) 20-2차(한남동 432 자투리녹지대)","37.5308","127.0111","1","2022-12-01"
"용산구","공원16-49(00) (보광동 231-17 달맞이 어린이공원)","공원16-49(00) (보광동 231-17 달맞이 어린이공원)","37.5279","126.9980","1","2022-12-01"
"용산구","공원7-07(00) (의열사당 전면)","공원7-07(00) (의열사당 전면)","37.5451","126.9610","1","2022-12-01"
"용산구","공원7-08(00) (의열사당 후면)","공원7-08(00) (의열사당 후면)","37.5454","126.9603","1","2022-12-01"
"용산구","공원7-09(00) (백범김구 묘역)","공원7-09(00) (백범김구 묘역)","37.5455","126.9600","1","2022-12-01"
"용산구","공원7-10(00) (삼의사 묘역)","공원7-10(00) (삼의사 묘역)","37.5452","126.9613","1","2022-12-01"
"용산구","공원7-11(00) 20-2차(임정요인 묘역)","공원7-11(00) 20-2차(임정요인 묘역)","37.5440","126.9626","1","2022-12-01"
"용산구","공원7-12(00) 20-2차(생태연못)","공원7-12(00) 20-2차(생태연못)","37.5462","126.9628","1","2022-12-01"
"용산구","공원7-13(00) 20-2차(어린이 놀이터)","공원7-13(00) 20-2차(어린이 놀이터)","37.5449","126.9631","1","2022-12-01"
"용산구","공원7-14(00) 20-2차(원효대사 동상 전면)","공원7-14(00) 20-2차(원효대사 동상 전면)","37.5452","126.9632","1","2022-12-01"
"용산구","공원7-15(00) 20-2차(게이트볼장)","공원7-15(00) 20-2차(게이트볼장)","37.5439","126.9578","1","2022-12-01"
"용산구","공원7-16(00) 20-2차(반공투사 위령탑)","공원7-16(00) 20-2차(반공투사 위령탑)","37.5457","126.9602","1","2022-12-01"
"용산구","공원7-17(00) 20-2차(관리사무소 앞(창열문 공원입구))","공원7-17(00) 20-2차(관리사무소 앞(창열문 공원입구))","37.5446","126.9622","1","2022-12-01"
"용산구","공원7-18(00) (임정요인 앞 산책로)","공원7-18(00) (임정요인 앞 산책로)","37.5439","126.9631","1","2022-12-01"
"용산구","공원7-19(00) 20-2차(의열광장)","공원7-19(00) 20-2차(의열광장)","37.5452","126.9611","1","2022-12-01"
"용산구","공원7-20(00) (노인회관)","공원7-20(00) (노인회관)","37.5448","126.9590","1","2022-12-01"
"용산구","공원7-21(00) (어린이놀이터 화장실)","공원7-21(00) (어린이놀이터 화장실)","37.5450","126.9630","1","2022-12-01"
"용산구","공원7-33(00) (원효대사 동상 후면)","공원7-33(00) (원효대사 동상 후면)","37.5455","126.9628","1","2022-12-01"
"용산구","공원7-34(00) (생태공원 산책로)","공원7-34(00) (생태공원 산책로)","37.5462","126.9631","1","2022-12-01"
"용산구","공원7-35(00) (공원후문 휴게공간)","공원7-35(00) (공원후문 휴게공간)","37.5464","126.9618","1","2022-12-01"
